"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Stx5a",-3.12182570464518,5.91813765972368,-15.2395122643028,0.0000000179185130241047,0.000000784424315958598,10.1553407855866
"St3gal6",-4.76115301503001,3.92108390234985,-15.3135389253195,0.0000000170678392604635,0.000000753516174808343,10.1384734798979
"Sh3glb1",-2.80746388240959,6.73570897784955,-15.215434185821,0.0000000182050968329109,0.000000795299387430182,10.0850077686293
"Phf8",-2.8941480153756,5.62761537498407,-15.1023531462948,0.0000000196196428719218,0.000000845638115854707,10.0650818376698
"Mettl27",-4.72934095531701,4.21978975259952,-15.3007509380252,0.0000000172115843282333,0.000000758255801758405,10.0614773904864
"Retreg3",-3.22338612705729,5.95166936806167,-15.1006790994324,0.0000000196414650193722,0.000000845638115854707,10.0581109725433
"Crebbp",-2.68863434443348,7.31207199974595,-15.2473315376712,0.0000000178265083206537,0.000000782039537654276,10.0537771466834
"Cyth3",-2.95034606045798,5.95410488028505,-15.1255234673383,0.0000000193203075877533,0.000000836999105017885,10.0522546480534
"Med13l",-2.50366632911506,7.56629606818367,-15.270691815536,0.0000000175547002818533,0.000000771740178213628,10.0518364272815
"Hba-a1",-11.2240754936407,5.10430032393366,-15.1968758388816,0.0000000184293982774115,0.000000803413810260883,10.0281741128527
"Emilin2",-2.76266967202351,5.95971969368568,-15.0561423355798,0.0000000202318679905688,0.00000086747256211414,9.9952594175413
"Anxa1",-3.62116796476406,7.48454588946067,-15.1102944764931,0.000000019516483111092,0.000000843743724209409,9.99436985090429
"Pacsin2",-2.42439907963546,7.15398097506603,-15.1454984146327,0.0000000190662526144806,0.000000829441695157718,9.98510219442602
"Add2",-4.47787358336045,5.56034720378162,-15.0097555592418,0.0000000208674604965296,0.000000889947393151375,9.95815475644795
"Cep164",-3.93137506606282,4.98397908011122,-14.9120089456898,0.0000000222793401343881,0.00000094746304024567,9.94599246794188
"ENSMUSG00000090673",-3.07367194576479,5.3479493512324,-14.8859170303873,0.0000000226736227618466,0.000000962266702874458,9.92857654544293
