"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000097838",79.9952085273156,2.956619021418,0.627681517846677,4.71038088163082,0.00000247254277902558,0.0000679596043835032
"Ighg2b",2140.12578671252,2.95956043003916,0.348865107815201,8.48339476703095,0.0000000000000000218717027503802,0.00000000000000662388568110589
"ENSMUSG00000088604",291.180222800445,2.97175469581758,1.0040157134473,2.95986871123165,0.00307770170142336,0.0276495744764783
"Gvin-ps5",155.112931800697,2.97372774808197,0.641664882746155,4.63439379034615,0.00000357984970487967,0.0000939713988327643
"Patj",486.165660085907,2.97907906374435,0.722617930883587,4.12261990247275,0.0000374587517811792,0.000759108335352422
"B430306N03Rik",414.310578675467,2.98113500763278,0.484948815116269,6.14731888130924,0.000000000788036022774393,0.0000000517571932387647
"B4galnt4",53.8163954014008,2.98321532399102,1.08406530138574,2.75187788058306,0.00592546127621082,0.0459047814832552
"Hlf",2402.82227314644,2.99512374663538,0.249448732209315,12.0069712125141,0.00000000000000000000000000000000326588384259202,0.00000000000000000000000000000890171072695831
"Cd177",3953.86841643655,2.99974631726543,0.71515214446369,4.19455683729371,0.0000273405591784931,0.000576195238150872
"Crispld1",491.659123397101,3.01360139601974,0.281442923462718,10.7076822502483,0.00000000000000000000000000936777613643688,0.00000000000000000000000851114505196048
"Cybb",9160.09894053283,3.01759366068071,0.38140509773876,7.91178114443447,0.0000000000000025373216456742,0.000000000000499944074618745
"Olfml2b",388.611907235665,3.01810533157128,0.641004678384408,4.70839828997524,0.00000249670891816414,0.0000685086873282825
"Blnk",49.8598503683218,3.02809319227909,1.06209105097716,2.85106741977831,0.0043572729533703,0.0363092195187886
"Bmpr1a",76.2326181894814,3.03357497733611,0.740358211320005,4.09744219886137,0.0000417740431726023,0.000828088123690592
"Tshz3",73.7049393134672,3.05633473971504,1.03798373428009,2.9444919402661,0.00323485371701042,0.0286580702535149
"Chil3",11589.5404594519,3.07245409763444,0.701965817332788,4.37692836569826,0.0000120363510520334,0.000273772580118156
"Gstt1",73.4054784144931,3.07562578341943,0.768272072281202,4.00330285895606,0.0000624642546557941,0.00116881054993233
"Ppargc1a",60.0588975282927,3.0767379194611,0.919460096205835,3.3462440971145,0.000819142506646076,0.00965148166692358
"Paqr5",199.953982906055,3.0862738514629,0.652531602500364,4.72969253847162,0.00000224860114532273,0.0000631706323403018
"Pde1b",120.080684860257,3.08962126009842,0.726016411114218,4.25558047008438,0.0000208507354400547,0.000452245261786015
"Ly6a2",326.655067200329,3.09012430912179,0.79042164304941,3.9094631786653,0.0000925014532551883,0.00160278669361541
"Ankrd33b",171.197346488695,3.09855673472694,0.557674748423147,5.55620770617329,0.0000000275698781587488,0.000001299359617891
"Lcn2",4238.92638271239,3.09901723992822,0.625681575051566,4.9530262093347,0.000000730681286172879,0.000023947017543229
"Fgr",728.967222499924,3.10883477313935,0.387226355673039,8.02846894999149,0.000000000000000986965834888439,0.000000000000212379463996915
"Col1a2",47.9214531851132,3.12445099243591,0.88190316192544,3.54285042545302,0.000395827140342422,0.00532348441871708
"Cfap119",268.397784698137,3.13847878851304,0.500047099670309,6.27636634745466,0.000000000346577033873507,0.0000000253032179105684
